,System,Filename,L,h,c,Combined
62,ystems/systems/larsson,1800976,0.9872974877521571,0.38731387424633706,0.53208306848629,0.2533455350616702
63,ystems/systems/larsson,1800341,0.98043225700298,0.43568242744404273,0.545972456005834,0.2554462630279591
64,ystems/systems/larsson,1801880,0.9629058436248434,0.5543114933035741,0.6151831918741149,0.3531045209963506
65,ystems/systems/larsson,1802243,0.9830248006273865,0.4078205970737988,0.576634700049114,0.24583488636997963
66,ystems/systems/larsson,1801391,0.9741247233617926,0.5241093976447992,0.6011786811949114,0.31911110807784454
67,ystems/systems/larsson,1801390,0.990587176781089,0.3501893361843589,0.30432760182004365,0.10210737600219875
68,ystems/systems/larsson,1800065,0.9851770751179205,0.5665948210656079,0.591555421617473,0.3667743930929527
69,ystems/systems/larsson,1800488,0.9834715333972827,0.4587866905855835,0.5938224635189341,0.29386191739108697
70,ystems/systems/larsson,1800847,0.9870313404801376,0.641387455398452,0.6308641531922399,0.43236670581895176
71,ystems/systems/larsson,1801754,0.9848418737297284,0.47251310944368974,0.6074233866053135,0.258516207154489
72,ystems/systems/larsson,1801590,0.9845979644523671,0.4482041838060584,0.3556414504420543,0.18394832081864912
73,ystems/systems/larsson,1801802,0.9883909621970591,0.655634420801939,0.5962871562589338,0.4253585781218773
74,ystems/systems/larsson,1801250,0.9775526966285875,0.5103192392900431,0.6615559354628093,0.35363899476763044
75,ystems/systems/larsson,1803120,0.9770573912296701,0.693806321975019,0.688574254587945,0.48269909574662834
76,ystems/systems/larsson,1800566,0.9835764317903083,0.45589537053650786,0.6202967473682768,0.2785997487746684
77,ystems/systems/larsson,1800572,0.9843736360551573,0.45401527544297826,0.5584165009260561,0.25465514492127045
78,ystems/systems/larsson,1803133,0.979253398879105,0.48577054368159234,0.6923193808181483,0.3617112531895592
79,ystems/systems/larsson,1800188,0.9846847974531799,0.5044743364148466,0.5748728882612997,0.31867760048996474
80,ystems/systems/nazeri,1800031,0.7853947146684432,0.3745394090791368,0.47991341981586066,0.1938550711234906
81,ystems/systems/nazeri,1803061,0.7820454155205893,0.495280929780883,0.2915983622359695,0.13477821641153653
82,ystems/systems/nazeri,1800976,0.8163204289925532,0.6149874526915358,0.5135330420687472,0.3125384398477098
83,ystems/systems/nazeri,1800341,0.7668841285798859,0.5818500224967305,0.4557742566025582,0.2658061711017664
84,ystems/systems/nazeri,1801880,0.7079900712672034,0.6311749305464859,0.2425688767260098,0.15294399667322445
85,ystems/systems/nazeri,1802243,0.8037013680717866,0.6129005960763911,0.5426155514839153,0.3345226472601694
86,ystems/systems/nazeri,1801391,0.8164794949460785,0.4825528598289917,0.37552236536626843,0.19385469202472128
87,ystems/systems/nazeri,1801390,0.8632202381015608,0.6015209095376309,0.352481379863986,0.21036669257513574
88,ystems/systems/nazeri,1800065,0.7909772856112868,0.47794030165942025,0.4239587368045574,0.2104315988994628
89,ystems/systems/nazeri,1800488,0.8603218104136112,0.5374021466586736,0.5378048449878929,0.292945783150991
90,ystems/systems/nazeri,1800847,0.7196970391268488,0.4427989556824791,0.4987616936744943,0.18894252405894285
91,ystems/systems/nazeri,1801754,0.8417779787969474,0.5630036697890024,0.7138649109518762,0.41127729492102094
92,ystems/systems/nazeri,1801590,0.840330126218052,0.5049197641625098,0.3176436953157124,0.16618769760752727
93,ystems/systems/nazeri,1801802,0.850477017215686,0.4637680643890219,0.45811507799809287,0.21575319066770177
94,ystems/systems/nazeri,1801250,0.7516549529281887,0.5500964604255303,0.6087270955665032,0.32754606998366004
95,ystems/systems/nazeri,1803120,0.8211910998591077,0.3516841066097932,0.4898179263591117,0.16570582008431917
96,ystems/systems/nazeri,1800566,0.7942857657536316,0.5865174325874872,0.5255036971515747,0.31321408979711185
97,ystems/systems/nazeri,1800572,0.7334024614077311,0.6209191868809614,0.43755063808432076,0.2624150003477941
98,ystems/systems/nazeri,1803133,0.6995674450093088,0.6354364785889598,0.5592438341558046,0.3525272412419522
99,ystems/systems/nazeri,1800188,0.7480107618176731,0.569445208401083,0.43348720805576574,0.26429110947079115
100,ystems/systems/zhang1,1800031,0.9835272120833758,0.6786729444090847,0.6457836225815032,0.4898883011663645
101,ystems/systems/zhang1,1803061,0.9914826095185004,0.5389451691022493,0.5537094475867321,0.3023425382582984
102,ystems/systems/zhang1,1800976,0.9879540988782182,0.6126660646558666,0.48819490579974634,0.2924614243050758
103,ystems/systems/zhang1,1800341,0.9886828588515072,0.6385796234585243,0.7176404632640656,0.4949640252912693
104,ystems/systems/zhang1,1801880,0.9858116571893812,0.7161215334517761,0.6556463199506128,0.47174497422553335
105,ystems/systems/zhang1,1802243,0.9909637340789974,0.5321522312016013,0.6331427821218956,0.3446839229870987
106,ystems/systems/zhang1,1801391,0.9898927507054182,0.5470730007571184,0.7569410007908473,0.4199028561511588
107,ystems/systems/zhang1,1801390,0.9918134268602943,0.49654706605673127,0.3983172894739437,0.21337259343232182
108,ystems/systems/zhang1,1800065,0.9896480465822589,0.6570857123912051,0.6643535659207935,0.45850739810848573
109,ystems/systems/zhang1,1800488,0.9877816227439005,0.49020880961320246,0.6082793005667125,0.314365778751079
110,ystems/systems/zhang1,1800847,0.992633897710273,0.7120894710615662,0.6366674560281123,0.4802655680451329
111,ystems/systems/zhang1,1801754,0.9870549160391141,0.5093010531185116,0.6112296802230157,0.318381610488941
112,ystems/systems/zhang1,1801590,0.9883210203005464,0.5871599308452011,0.5376086982735364,0.34206222835746336
113,ystems/systems/zhang1,1801802,0.9894413910007324,0.7540369859292047,0.6407391553019579,0.48712903406775565
114,ystems/systems/zhang1,1801250,0.9887946493456605,0.5824795839478123,0.6944179890583959,0.404796026383204
115,ystems/systems/zhang1,1803120,0.9876299393745338,0.6879488842169423,0.7519167024637133,0.5274933386992087
116,ystems/systems/zhang1,1800566,0.9869127238498925,0.5500121787557791,0.6825302666646574,0.3694877294847586
117,ystems/systems/zhang1,1800572,0.9897473709227529,0.5401827677107609,0.6011057442643375,0.3150918531770532
118,ystems/systems/zhang1,1803133,0.9906874049511479,0.5592101672734433,0.6820584178505092,0.4079103559368782
119,ystems/systems/zhang1,1800188,0.9920209288295931,0.5422507033217403,0.5005847353061664,0.3001512820759549
120,ystems/systems/zhang2,1800031,0.9980411888838793,0.7222113773568942,0.5700992111093259,0.4599508384463625
121,ystems/systems/zhang2,1803061,0.9991395119070923,0.5901883477171168,0.6176056078032851,0.36509693405593485
122,ystems/systems/zhang2,1800976,0.9978347243912082,0.599069502643998,0.5303238830980417,0.33986482700619286
123,ystems/systems/zhang2,1800341,0.997570498414959,0.4905201760796553,0.608381322997731,0.334551151662109
124,ystems/systems/zhang2,1801880,0.9969412882933271,0.81614138032427,0.734196740695289,0.6120346503033905
125,ystems/systems/zhang2,1802243,0.9986432278488759,0.4293725493565754,0.5591049482494417,0.2957597135911828
126,ystems/systems/zhang2,1801391,0.9980637602557876,0.5593871485618994,0.7569650254293044,0.42378449723628886
127,ystems/systems/zhang2,1801390,0.9973787727672846,0.4132038472893688,0.2578513637054291,0.10012912516485747
128,ystems/systems/zhang2,1800065,0.9978650838476413,0.6991310090244667,0.6705319491674749,0.48704639207814227
129,ystems/systems/zhang2,1800488,0.9981577619698573,0.6277406193114533,0.48930319148152657,0.3268252230685107
130,ystems/systems/zhang2,1800847,0.9985171635009159,0.7397800722016288,0.6689485697446482,0.5294475895845382
131,ystems/systems/zhang2,1801754,0.9984587369680631,0.5472453280868391,0.5643406789696812,0.27109084975034065
132,ystems/systems/zhang2,1801590,0.9964311564196652,0.6427739121156423,0.5638758619646598,0.37528281234222677
133,ystems/systems/zhang2,1801802,0.9975475173661393,0.6889037164129793,0.5692985045433088,0.437480815624735
134,ystems/systems/zhang2,1801250,0.9984441674181889,0.6443564478093007,0.755566141895955,0.4998707881141906
135,ystems/systems/zhang2,1803120,0.9973575899064744,0.7291478907692547,0.7768429500657028,0.576573913048085
136,ystems/systems/zhang2,1800566,0.997585170365442,0.521021756470051,0.7623378119113631,0.3955752650354455
137,ystems/systems/zhang2,1800572,0.9983982045340426,0.3385628599109525,0.4593743264838768,0.1744598320175536
138,ystems/systems/zhang2,1803133,0.9987936914291917,0.5838480891445095,0.7665813465256871,0.46840058396931983
139,ystems/systems/zhang2,1800188,0.9985819654774468,0.5255138664094885,0.5898502340656843,0.36216111987550004
